,0
220,bankrupt
221,bankruptci
222,bar
223,barclay
224,bare
225,bargain
226,baromet
227,barrel
228,barrier
229,base
230,basel
231,baselin
232,basi
233,basic
234,basix
235,basket
236,bcc
237,bear
238,becam
239,becom
240,beef
241,began
242,begin
243,begun
244,behalf
245,behaviour
246,behind
247,belief
248,believ
249,benchmark
250,beneath
251,benefici
252,benefit
253,benign
254,bequeath
255,best
256,better
257,beverag
258,beyond
259,bi
260,bia
261,bias
262,bid
263,big
264,bigger
265,biggest
266,bilater
267,bill
268,billion
269,bind
270,birth
271,bl
272,bleak
273,blue
274,board
275,bodi
276,boj
277,bolster
278,bond
279,bondhold
280,bonu
281,bonus
282,book
283,boom
284,boost
285,border
286,bore
287,born
288,borrow
289,bottom
290,bought
291,bounc
292,bounceback
293,bound
294,box
295,bradstreet
296,brake
297,brand
298,brazil
299,brazilian
300,brc
301,breach
302,bread
303,break
304,breakdown
305,breakeven
306,brent
307,bridg
308,brief
309,briefli
310,brighten
311,brighter
312,bring
313,brisk
314,briskli
315,britain
316,british
317,broad
318,broaden
319,broader
320,broadli
321,broken
322,broker
323,brother
324,brought
325,brown
326,brunt
327,bse
328,budget
329,buffer
330,buffet
331,bug
332,build
333,builder
334,built
335,bulk
336,bulletin
337,bunch
338,buoy
339,buoyanc
340,buoyant
341,burden
342,bureau
343,busi
344,buttress
345,buy
346,buyback
347,buyer
348,c
349,calcul
350,calendar
351,calibr
352,call
353,came
354,canada
355,cancel
356,candid
357,cap
358,capac
359,capit
360,capitalis
361,captur
362,car
363,card
364,care
365,carousel
366,carri
367,case
368,cash
369,cashflow
370,cast
371,catalyst
372,catch
373,categori
374,cater
375,caus
376,causal
377,caution
378,cautiou
379,caveat
380,cbi
381,cc
382,cd
383,ceas
384,ceil
385,celebr
386,censu
387,cent
388,centr
389,central
390,centuri
391,cereal
392,certain
393,certainli
394,certainti
395,cfo
396,cg
397,chain
398,challeng
399,chamber
400,chanc
401,chancellor
402,chang
403,channel
404,characteris
405,characterist
406,charg
407,chart
408,charter
409,cheap
410,cheaper
411,cheapli
412,check
413,chemic
414,chief
415,chiefli
416,childcar
417,children
418,chime
419,china
420,chines
421,choic
422,choos
423,chosen
424,christma
425,churn
426,cip
427,circul
428,circumst
429,cite
430,citigroup
431,citizen
432,civil
433,claim
434,claimant
435,clarifi
436,clariti
437,class
438,classifi
439,clear
440,clearer
441,clearli
442,climat
443,climb
444,close
445,closer
446,closest
447,closur
448,cloth
449,cloud
450,cluster
451,cml
452,co
453,coal
454,cohort
455,coin
456,coincid
457,cold
458,collaps
459,collat
460,collater
461,collect
462,colour
463,column
464,combin
465,come
466,comfort
467,commenc
468,commensur
469,comment
470,commerc
471,commerci
472,commiss
473,commit
474,committe
475,commod
476,common
477,commonli
478,commun
479,compani
480,compar
481,comparison
482,compel
483,compens
484,compet
485,competit
486,competitor
487,compil
488,complement
489,complementari
490,complet
491,complex
492,complianc
493,complic
494,compon
495,composit
496,compound
497,comprehens
498,compress
499,compris
500,comput
501,conceal
502,concentr
503,concept
504,concern
505,conclud
506,conclus
507,condit
508,conduc
509,conduct
510,confeder
511,confid
512,confin
513,confirm
514,conflict
515,confound
516,conjunct
517,conjunctur
518,connect
519,consecut
520,consensu
521,consequ
522,consid
523,consider
524,consist
525,consolid
526,consortium
527,constant
528,constitu
529,constitut
530,constrain
531,constraint
532,construct
533,consult
534,consum
535,consumpt
536,contact
537,contagion
538,contain
539,contemporan
540,content
541,context
542,contin
543,continent
544,conting
545,continu
546,contour
547,contract
548,contractu
549,contrari
550,contrast
551,contribut
552,contributor
553,contributori
554,control
555,conveni
556,convent
557,converg
558,convers
559,convert
560,convey
561,convinc
562,cool
563,core
564,corollari
565,corpor
566,correct
567,correl
568,correspond
569,correspondingli
570,corrobor
571,cost
572,costli
573,could
574,council
575,count
576,counter
577,counteract
578,counterbalanc
579,counterpart
580,counterparti
581,countervail
582,counti
583,countri
584,countrysid
585,coupl
586,cours
587,coven
588,cover
589,coverag
590,cpi
591,cpih
592,cre
593,creat
594,creation
595,credibl
596,credit
597,creditor
598,creditworthi
599,crise
600,crisi
601,criteria
602,critic
603,crop
604,cross
605,crucial
606,crude
607,crunch
608,crystallis
609,cspi
610,cumul
611,cup
612,curb
613,currenc
614,current
615,curtail
616,curv
617,cushion
618,custom
619,cut
620,cutback
621,cycl
622,cyclic
623,cypriot
624,cypru
625,daili
626,dairi
627,damag
628,dampen
629,danger
630,darkest
631,dash
632,data
633,databank
634,databas
635,date
636,day
637,db
638,de
639,deal
640,dealer
641,death
642,debit
643,debt
644,debtor
645,decad
646,deceler
647,decemb
648,decid
649,decis
650,declin
651,decompos
652,decomposit
653,decreas
654,deduct
655,deep
656,deepen
657,deeper
658,default
659,defenc
660,defer
661,deferr
662,deficit
663,defin
664,definit
665,deflat
666,degre
667,delay
668,deleverag
669,deliber
670,deliv
671,deliveri
672,deloitt
673,demand
674,demograph
675,demonstr
676,demutualis
677,denomin
678,dent
679,depart
680,department
681,depend
682,depict
683,deposit
684,depositor
685,depreci
686,depress
687,depth
688,derail
689,deriv
690,derog
691,describ
692,descript
693,design
694,desir
695,despit
696,destin
697,destock
698,destruct
699,detail
700,deter
701,deterior
702,determin
703,detr
704,detract
705,deutsch
706,devalu
707,devast
708,develop
709,deviat
710,devot
711,dgi
712,diagram
713,diamond
714,die
715,differ
716,differenti
717,difficult
718,difficulti
719,diminish
720,diminut
721,dip
722,direct
723,directli
724,disaggreg
725,disappear
726,disappoint
727,disburs
728,discern
729,discharg
730,discontinu
731,discount
732,discourag
733,discov
734,discrep
735,discretionari
736,discrimin
737,discuss
738,diseas
739,disentangl
740,disinflationari
741,disloc
742,dismiss
743,disorderli
744,dispar
745,dispers
746,displac
747,display
748,dispos
749,disproportion
750,disput
751,disrupt
752,dissip
753,distinct
754,distinguish
755,distort
756,distress
757,distribut
758,distributor
759,disturb
760,diverg
761,divers
762,diversifi
763,divert
764,divid
765,dividend
766,divisia
767,dm
768,document
769,dollar
770,domest
771,domin
772,done
773,dot
774,doubl
775,doubt
776,down
777,downbeat
778,downgrad
779,downsid
780,downturn
781,downward
782,drag
783,dramat
784,draw
785,drawback
786,drawdown
787,drawn
788,dri
789,drift
790,drink
791,drive
792,driven
793,driver
794,drop
795,drought
796,ds
797,dtlr
798,due
799,dun
800,durabl
801,durat
802,duti
803,dwell
804,dwindl
805,dynam
806,e
807,earli
808,earlier
809,earmark
810,earn
811,earner
812,earthquak
813,eas
814,easi
815,easier
816,easili
817,east
818,easter
819,eastern
820,ecb
821,echo
822,econom
823,econometr
824,economi
825,economis
826,economist
827,ectr
828,edg
829,edit
830,educ
831,ef
832,effect
833,efficaci
834,effici
835,effort
836,efsr
837,eg
838,eight
839,eighteen
840,eighth
841,either
842,elast
843,elect
844,electr
845,electron
846,element
847,elev
848,eleven
849,elig
850,elimin
851,els
852,elsewher
853,eman
854,embed
855,embodi
856,eme
857,emerg
858,emigr
859,emphasi
860,emphasis
861,empir
862,employ
863,employe
864,emptiv
865,emul
866,enabl
867,enact
868,encapsul
869,encourag
870,end
871,endow
872,endur
873,energi
874,engag
875,engend
876,engin
877,england
878,english
879,enhanc
880,enjoy
881,enlarg
882,enough
883,enquiri
884,enrol
885,ensur
886,entail
887,enter
888,enterpris
889,entir
890,entitl
891,entrant
892,entrench
893,entri
894,environ
895,envisag
896,ephemer
897,epidem
898,episod
899,equal
900,equalis
901,equilibrium
902,equip
903,equiti
904,equival
905,eri
906,erm
907,erod
908,eros
909,errat
910,error
911,esa
912,escal
913,especi
914,essenti
915,establish
916,estat
917,estim
918,eu
919,euler
920,euro
921,eurodollar
922,europ
923,european
924,eurostat
925,evalu
926,evas
927,even
928,evenli
929,event
930,eventu
931,ever
932,everi
933,evid
934,evolut
935,evolv
936,exacerb
937,exact
938,exactli
939,exagger
940,examin
941,exampl
942,exce
943,exceed
944,except
945,excess
946,exchang
947,exchequ
948,excis
949,exclud
950,exclus
951,exempt
952,exercis
953,exert
954,exhibit
955,exist
956,exit
957,expand
958,expans
959,expansionari
960,expect
961,expenditur
962,expens
963,experi
964,experienc
965,experiment
966,expir
967,expiri
968,explain
969,explan
970,explicit
971,explicitli
972,exploit
973,explor
974,export
975,expos
976,exposur
977,express
978,extend
979,extens
980,extent
981,extern
982,extra
983,extract
984,extrapol
985,extrem
986,f
987,face
988,facil
989,facilit
990,fact
991,factor
992,factori
993,fade
994,fail
995,failur
996,fairli
997,fall
998,fallback
999,fallen
1000,fallout
1001,falter
1002,famili
1003,fan
1004,far
1005,fare
1006,farm
1007,farmer
1008,fashion
1009,fast
1010,faster
1011,fastest
1012,favour
1013,fdi
1014,fe
1015,fear
1016,featur
1017,februari
1018,fed
1019,feder
1020,fee
1021,feed
1022,feedback
1023,feel
1024,fell
1025,felt
1026,femal
1027,fepi
1028,fewer
1029,field
1030,fifteen
1031,fifth
1032,figur
1033,fill
1034,fillip
1035,filter
1036,final
1037,finalis
1038,financ
1039,financi
1040,find
1041,fine
1042,finish
1043,fire
1044,firm
1045,firmer
1046,firmli
1047,first
1048,fiscal
1049,fit
1050,five
1051,fix
1052,fl
1053,flash
1054,flat
1055,flatten
1056,flatter
1057,flexibl
1058,flight
1059,float
1060,flood
1061,flow
1062,fluctuat
1063,fmd
1064,focu
1065,focus
1066,follow
1067,fomc
1068,food
1069,foodstuff
1070,foot
1071,footnot
1072,footwear
1073,forbear
1074,forc
1075,forecast
1076,foreign
1077,foreshadow
1078,form
1079,formal
1080,format
1081,former
1082,formul
1083,formula
1084,forthcom
1085,fortun
1086,forward
1087,foster
1088,found
1089,four
1090,fourth
1091,fpc
1092,fraction
1093,fragil
1094,framework
1095,franc
1096,fraud
1097,fraudster
1098,fraudul
1099,fre
1100,free
1101,freez
1102,freight
1103,french
1104,frequenc
1105,frequent
1106,fresh
1107,friction
1108,front
1109,fsa
1110,fsb
1111,ft
1112,ftse
1113,fuel
1114,fuell
1115,fulfil
1116,full
1117,fuller
1118,fulli
1119,function
1120,fund
1121,fundament
1122,furnitur
1123,furthermor
1124,futur
1125,g
1126,ga
1127,gad
1128,gain
1129,gallup
1130,game
1131,gap
1132,gasolin
1133,gate
1134,gather
1135,gaug
1136,gave
1137,gc
1138,gdp
1139,gear
1140,gener
1141,generalis
1142,gentl
1143,gentler
1144,gentli
1145,genuin
1146,geograph
1147,geometr
1148,geopolit
1149,german
1150,germani
1151,get
1152,gfk
1153,gilt
1154,give
1155,given
1156,global
1157,globalis
1158,globe
1159,gloomi
1160,gloomier
1161,go
1162,goe
1163,golden
1164,gone
1165,good
1166,goodwil
1167,govern
1168,governor
1169,grade
1170,gradual
1171,grain
1172,grant
1173,graviti
1174,great
1175,greater
1176,greatest
1177,greatli
1178,greec
1179,greek
1180,green
1181,grew
1182,gross
1183,ground
1184,group
1185,grow
1186,grown
1187,growth
1188,guarante
1189,guard
1190,guid
1191,guidanc
1192,gulf
1193,gva
1194,h
1195,half
1196,halifax
1197,halt
1198,halv
1199,hamper
1200,hand
1201,happen
1202,hard
1203,harder
1204,harmonis
1205,harvest
1206,hazard
1207,hbf
1208,head
1209,headcount
1210,headlin
1211,headwind
1212,heal
1213,health
1214,healthi
1215,healthier
1216,heavi
1217,heavili
1218,hedg
1219,height
1220,heighten
1221,held
1222,help
1223,hemispher
1224,henc
1225,herald
1226,hew
1227,hicp
1228,high
1229,higher
1230,highest
1231,highli
1232,highlight
1233,hill
1234,hinder
1235,hing
1236,hire
1237,histor
1238,histori
1239,hit
1240,hm
1241,hmrc
1242,hoard
1243,hold
1244,holder
1245,holiday
1246,home
1247,homebuy
1248,homemov
1249,homeown
1250,horizon
1251,host
1252,hostil
1253,hot
1254,hotel
1255,hour
1256,hourli
1257,hous
1258,housebuild
1259,household
1260,howev
1261,hsbc
1262,human
1263,hump
1264,hurrican
1265,hypothes
1266,hypothesi
1267,hypothet
1268,ibe
1269,icc
1270,icpf
1271,ict
1272,id
1273,idea
1274,ideal
1275,ident
1276,identifi
1277,idiosyncrat
1278,ie
1279,iea
1280,if
1281,ifo
1282,ignor
1283,ii
1284,illeg
1285,illiquid
1286,illustr
1287,ilo
1288,imbal
1289,imf
1290,immedi
1291,immigr
1292,immin
1293,impact
1294,impair
1295,impart
1296,imped
1297,impedi
1298,imperfect
1299,imperfectli
1300,impetu
1301,imping
1302,implement
1303,impli
1304,implic
1305,implicit
1306,implicitli
1307,import
1308,importantli
1309,impos
1310,imposs
1311,imprecis
1312,impress
1313,improv
1314,impuls
1315,imput
1316,inaccur
1317,inact
1318,inadequ
1319,inappropri
1320,incent
1321,incept
1322,inch
1323,incid
1324,incipi
1325,inclin
1326,includ
1327,inclus
1328,incom
1329,incomplet
1330,inconsist
1331,incorpor
1332,increas
1333,increasingli
1334,increment
1335,incur
1336,inde
1337,indebt
1338,indebted
1339,indefinit
1340,indemn
1341,independ
1342,index
1343,india
1344,indic
1345,indirect
1346,indirectli
1347,individu
1348,indonesia
1349,induc
1350,industri
1351,industrialis
1352,ineffici
1353,inertia
1354,inevit
1355,infer
1356,inflat
1357,inflationari
1358,inflow
1359,influenc
1360,inform
1361,infrastructur
1362,infrequ
1363,inher
1364,inherit
1365,inhibit
1366,initi
1367,inject
1368,inland
1369,innov
1370,input
1371,inquiri
1372,inroad
1373,insecur
1374,insensit
1375,insofar
1376,insolv
1377,instabl
1378,instal
1379,instanc
1380,instant
1381,instead
1382,institut
1383,instruct
1384,instrument
1385,insuffici
1386,insul
1387,insur
1388,intact
1389,intang
1390,integr
1391,intellig
1392,intend
1393,intens
1394,intensif
1395,intensifi
1396,intent
1397,inter
1398,interact
1399,interbank
1400,interconnector
1401,interest
1402,interim
1403,intermedi
1404,intermediari
1405,intern
1406,internet
1407,interplay
1408,interpret
1409,interrel
1410,interrupt
1411,interv
1412,interven
1413,intervent
1414,interview
1415,intim
1416,intra
1417,intragroup
1418,introduc
1419,introduct
1420,inventori
1421,invers
1422,invest
1423,investig
1424,investor
1425,involuntari
1426,involv
1427,inward
1428,io
1429,iod
1430,ip
1431,ir
1432,iranian
1433,iraq
1434,iraqi
1435,ireland
1436,irish
1437,irregular
1438,irrespect
1439,ism
1440,isol
1441,issu
1442,issuanc
1443,issuer
1444,itali
1445,italian
1446,item
1447,iva
1448,januari
1449,japan
1450,japanes
1451,jgb
1452,job
1453,jobcentr
1454,jobseek
1455,join
1456,jpmorgan
1457,jubile
1458,judg
1459,judgement
1460,judgment
1461,juli
1462,jump
1463,junctur
1464,june
1465,justifi
1466,juxtaposit
1467,k
1468,katrina
1469,keen
1470,keep
1471,kept
1472,key
1473,kind
1474,kingdom
1475,knock
1476,knockout
1477,know
1478,knowledg
1479,known
1480,korea
1481,korean
1482,kpmg
1483,kuwait
1484,l
1485,labour
1486,lack
1487,lacklustr
1488,lag
1489,laid
1490,land
1491,landlord
1492,lapf
1493,larg
1494,larger
1495,largest
1496,last
1497,late
1498,later
1499,latest
1500,latin
1501,latter
1502,launch
1503,law
1504,lay
1505,layoff
1506,lcf
1507,lcr
1508,lead
1509,leader
1510,leak
1511,learn
1512,leas
1513,least
1514,leav
1515,led
1516,left
1517,legaci
1518,legal
1519,legisl
1520,lehman
1521,leisur
1522,lend
1523,lender
1524,length
1525,lengthen
1526,less
1527,lessen
1528,lesser
1529,let
1530,letter
1531,level
1532,leverag
1533,levi
1534,lf
1535,liabil
1536,liberalis
1537,libor
1538,libya
1539,licenc
1540,lie
1541,life
1542,lifetim
1543,lift
1544,light
1545,like
1546,likelihood
1547,likewis
1548,limit
1549,line
1550,linger
1551,link
1552,linkag
1553,lion
1554,liquid
1555,list
1556,littl
1557,live
1558,livestock
1559,lloyd
1560,loan
1561,local
1562,locat
1563,lock
1564,london
1565,lone
1566,long
1567,longer
1568,longest
1569,longev
1570,look
1571,loop
1572,loos
1573,loosen
1574,looser
1575,lose
1576,loss
1577,lost
1578,lot
1579,lotteri
1580,low
1581,lower
1582,lowest
1583,ltd
1584,ltro
1585,ltv
1586,lubric
1587,lull
1588,lump
1589,lynch
1590,machin
1591,machineri
1592,macroeconom
1593,macroprudenti
1594,made
1595,maff
1596,magenta
1597,magnifi
1598,magnitud
1599,main
1600,mainli
1601,mainstay
1602,maintain
1603,mainten
1604,maiz
1605,majesti
1606,major
1607,make
1608,maker
1609,malaysia
1610,male
1611,manag
1612,mani
1613,manifest
1614,manner
1615,manpow
1616,manual
1617,manufactur
1618,map
1619,march
1620,margin
1621,mark
1622,markedli
1623,market
1624,markit
1625,markup
1626,mask
1627,match
1628,materi
1629,materialis
1630,matter
1631,matur
1632,maximis
1633,maximum
1634,may
1635,mean
1636,meaning
1637,meant
1638,meanwhil
1639,measur
1640,meat
1641,mechan
1642,media
1643,median
1644,medic
1645,medium
1646,meet
1647,member
1648,membership
1649,men
1650,mention
1651,mere
1652,merger
1653,merit
1654,merril
1655,messag
1656,met
1657,metal
1658,method
1659,methodolog
1660,metric
1661,mew
1662,mexico
1663,mfp
1664,mfr
1665,michigan
1666,microdata
1667,microeconom
1668,mid
1669,middl
1670,midway
1671,might
1672,migrant
1673,migrat
1674,mild
1675,mildli
1676,militari
1677,millennium
1678,million
1679,mind
1680,mine
1681,minim
1682,minimis
1683,minimum
1684,minist
1685,minor
1686,minu
1687,minut
1688,mip
1689,mirror
1690,misinterpret
1691,misjudg
1692,mislead
1693,mismatch
1694,mismeasur
1695,miss
1696,mistaken
1697,mitig
1698,mix
1699,mmr
1700,mobil
1701,modal
1702,mode
1703,model
1704,moder
1705,modest
1706,modestli
1707,moment
1708,momentum
1709,monetari
1710,money
1711,monitor
1712,monopoli
1713,monopsoni
1714,month
1715,monthli
1716,moral
1717,moreov
1718,mori
1719,mortgag
1720,mortgagor
1721,mostli
1722,mothbal
1723,motiv
1724,motor
1725,mount
1726,mouth
1727,move
1728,movement
1729,mpc
1730,mtic
1731,much
1732,multi
1733,must
1734,mute
1735,mutual
1736,name
1737,napm
1738,narrow
1739,nascent
1740,nation
1741,nationwid
1742,natur
1743,ne
1744,near
1745,nearer
1746,nearli
1747,necess
1748,necessari
1749,necessarili
1750,necessit
1751,need
1752,neg
1753,neglig
1754,negoti
1755,neither
1756,net
1757,netherland
1758,network
1759,neutral
1760,never
1761,nevertheless
1762,new
1763,newli
1764,news
1765,newspap
1766,next
1767,nh
1768,ni
1769,nic
1770,nie
1771,niip
1772,nine
1773,nmg
1774,nmw
1775,noc
1776,nois
1777,nomin
1778,non
1779,none
1780,nonetheless
1781,nop
1782,norm
1783,normal
1784,normalis
1785,north
1786,northern
1787,norway
1788,notabl
1789,note
1790,noth
1791,notic
1792,notifi
1793,notion
1794,notwithstand
1795,novemb
1796,npish
1797,ntc
1798,number
1799,numer
1800,object
1801,oblig
1802,obr
1803,obscur
1804,observ
1805,obtain
1806,obviou
1807,occas
1808,occup
1809,occupi
1810,occur
1811,octob
1812,odd
1813,odpm
1814,oecd
1815,ofc
1816,off
1817,offer
1818,offic
1819,offici
1820,offset
1821,ofgem
1822,ofi
1823,ofifa
1824,often
1825,oi
1826,oil
1827,old
1828,older
1829,olymp
1830,omt
1831,on
1832,one
1833,ongo
1834,onset
1835,onto
1836,onward
1837,ooh
1838,opec
1839,open
1840,oper
1841,opinion
1842,opportun
1843,oppos
1844,opposit
1845,optic
1846,optim
1847,optimist
1848,option
1849,orang
1850,order
1851,orderli
1852,ordin
1853,organis
1854,orient
1855,origin
1856,other
1857,otherwis
1858,outbreak
1859,outcom
1860,outflow
1861,outlier
1862,outlin
1863,outlook
1864,outpac
1865,outperform
1866,output
1867,outright
1868,outsid
1869,outsourc
1870,outstand
1871,outstrip
1872,outturn
1873,outweigh
1874,overal
1875,overdraft
1876,overestim
1877,overhang
1878,overhead
1879,overlap
1880,overleverag
1881,overli
1882,overmortgag
1883,overnight
1884,overpredict
1885,overrid
1886,oversea
1887,overshoot
1888,overst
1889,overtim
1890,overview
1891,owe
1892,own
1893,owner
1894,ownership
1895,p
1896,pace
1897,pacif
1898,packag
1899,pact
1900,page
1901,paid
1902,paint
1903,pair
1904,panel
1905,paper
1906,parallel
1907,pare
1908,parent
1909,part
1910,parti
1911,partial
1912,particip
1913,particular
1914,particularli
1915,partli
1916,partner
1917,pass
1918,passeng
1919,past
1920,patch
1921,patchi
1922,path
1923,pattern
1924,paus
1925,pay
1926,paybil
1927,payment
1928,payout
1929,payrol
1930,pbr
1931,peac
1932,peak
1933,peer
1934,penc
1935,pend
1936,penetr
1937,pension
1938,pent
1939,peopl
1940,per
1941,perceiv
1942,percentag
1943,percentil
1944,percept
1945,perfect
1946,perfectli
1947,perform
1948,perhap
1949,period
1950,peripher
1951,peripheri
1952,perman
1953,permiss
1954,persist
1955,person
1956,perspect
1957,persuad
1958,pertin
1959,pervas
1960,pessim
1961,pessimist
1962,petit
1963,petrol
1964,petroleum
1965,phase
1966,phenomenon
1967,philippin
1968,phone
1969,physic
1970,pick
1971,pickup
1972,pictur
1973,pink
1974,pipelin
1975,place
1976,placement
1977,plan
1978,plant
1979,plate
1980,plausibl
1981,play
1982,plenti
1983,plot
1984,plu
1985,plummet
1986,plung
1987,pmi
1988,pnfc
1989,point
1990,poland
1991,polici
1992,policymak
1993,polish
1994,polit
1995,poll
1996,pool
1997,poor
1998,popul
1999,popular
2000,port
2001,portfolio
2002,portion
2003,portray
2004,portug
2005,portugues
2006,pose
2007,posit
2008,possess
2009,possibl
2010,post
2011,postpon
2012,potenti
2013,pound
2014,power
2015,pra
2016,practic
2017,pre
2018,precaut
2019,precautionari
2020,preced
2021,preceed
2022,precipit
2023,precis
2024,predat
2025,predict
2026,predomin
2027,predominantli
2028,prefer
2029,prefix
2030,preliminari
2031,prematur
2032,premia
2033,premium
2034,prepar
2035,presag
2036,presenc
2037,present
2038,preserv
2039,press
2040,pressur
2041,presumpt
2042,prevail
2043,preval
2044,prevent
2045,previou
2046,previous
2047,price
2048,pricewaterhousecoop
2049,primari
2050,primarili
2051,prime
2052,princip
2053,principl
2054,prior
2055,privat
2056,privatis
2057,pro
2058,probabl
2059,problem
2060,problemat
2061,proce
2062,proceed
2063,process
2064,procur
2065,procycl
2066,produc
2067,product
2068,profession
2069,profil
2070,profit
2071,programm
2072,progress
2073,prohibit
2074,project
2075,prolong
2076,promis
2077,promot
2078,prompt
2079,prone
2080,pronounc
2081,propens
2082,properti
2083,proport
2084,proportion
2085,propos
2086,prospect
2087,protect
2088,protract
2089,prove
2090,provid
2091,provis
2092,provision
2093,proxi
2094,proxim
2095,prp
2096,prudenti
2097,psbr
2098,psnb
2099,public
2100,publicli
2101,publish
2102,pull
2103,pupil
2104,purchas
2105,pure
2106,purpos
2107,pursu
2108,push
2109,put
2110,puzzl
2111,pwc
2112,q
2113,qualif
2114,qualifi
2115,qualit
2116,qualiti
2117,quantif
2118,quantifi
2119,quantit
2120,quantiti
2121,quarri
2122,quarter
2123,quarterli
2124,queen
2125,question
2126,questionnair
2127,quick
2128,quicken
2129,quicker
2130,quickli
2131,quintil
2132,quit
2133,quot
2134,quota
2135,r
2136,rail
2137,rainfal
2138,rais
2139,ralli
2140,ran
2141,random
2142,rang
2143,rapid
2144,rapidli
2145,rare
2146,rate
2147,rather
2148,ratio
2149,raw
2150,rb
2151,reach
2152,react
2153,reaction
2154,read
2155,readi
2156,readili
2157,readjust
2158,reaffirm
2159,real
2160,realis
2161,realist
2162,realloc
2163,reap
2164,reapprais
2165,reason
2166,reassess
2167,reassur
2168,rebal
2169,rebalanc
2170,rebas
2171,rebound
2172,rebuild
2173,rebuilt
2174,rec
2175,recapitalis
2176,reced
2177,receipt
2178,receiv
2179,recent
2180,recess
2181,recipi
2182,reclassif
2183,recognis
2184,recognit
2185,recommend
2186,reconcil
2187,reconsid
2188,record
2189,recoup
2190,recours
2191,recov
2192,recoveri
2193,recruit
2194,rectifi
2195,recur
2196,red
2197,redempt
2198,redeploy
2199,redirect
2200,redistribut
2201,reduc
2202,reduct
2203,redund
2204,refer
2205,referenc
2206,refin
2207,refinanc
2208,reflect
2209,refocu
2210,reform
2211,refus
2212,regain
2213,regard
2214,regardless
2215,regim
2216,region
2217,regist
2218,registr
2219,registri
2220,regress
2221,regul
2222,regular
2223,regularli
2224,regulatori
2225,rehir
2226,rein
2227,reinforc
2228,reinstat
2229,reinvest
2230,reiter
2231,rel
2232,relat
2233,relationship
2234,relax
2235,releas
2236,relev
2237,reli
2238,reliabl
2239,relianc
2240,reliant
2241,relief
2242,reliev
2243,reloc
2244,reluct
2245,remain
2246,remaind
2247,remark
2248,remit
2249,remortgag
2250,remov
2251,remuner
2252,render
2253,renew
2254,rent
2255,rental
2256,renter
2257,repaid
2258,repair
2259,repay
2260,repeat
2261,repeatedli
2262,repercuss
2263,replac
2264,repo
2265,report
2266,reporta
2267,reportand
2268,reportdescrib
2269,reportedli
2270,reporthighlight
2271,reportnot
2272,reporton
2273,reportproject
2274,reportshav
2275,repossess
2276,repres
2277,repurchas
2278,request
2279,requir
2280,research
2281,reserv
2282,resid
2283,residenti
2284,residu
2285,resign
2286,resili
2287,resist
2288,resolut
2289,resolv
2290,resourc
2291,respect
2292,respond
2293,respons
2294,rest
2295,restat
2296,restaur
2297,restor
2298,restrain
2299,restraint
2300,restrict
2301,restructur
2302,result
2303,resum
2304,resumpt
2305,resurg
2306,retail
2307,retain
2308,retard
2309,retent
2310,retir
2311,retrain
2312,retrench
2313,return
2314,reunif
